No,食品名,量(g),カロリー(kcal) ,タンパク質(g),脂質(g),炭水化物(g)
2919,プルコギ,355.5,555,18.84,38.93,29.58
2920,ボラ塩焼き,406,512,76.82,20.02,0.41
2921,卵かけご飯マヨネーズ,240,439,12.7,15.67,58.2
2922,納豆卵焼き,226.6,421,23.59,29.46,12.01
2923,納豆うどん,458,417,18.27,5.91,70.39
2924,納豆オムレツ,189.5,373,23.63,27.12,6.58
2925,しらす卵焼き,161,359,17.76,26.36,9.34
2926,きんき鍋,589.5,354,19.16,23.23,12.44
2927,太刀魚ムニエル,107.2,344,13.9,27.97,5.98
2928,塩昆布卵焼き,176,326,15.72,24.38,7.87
2929,柿グラタン,219.3,320,10.81,22.89,18.2
2930,きんき煮つけ,150,314,14.42,21.71,10.01
2931,生ハムユッケ,152,278,16.04,18.79,9.17
2932,きんき湯煮,403,270,14.75,21.68,1.21
2933,キンキ塩焼き,103,262,13.6,21.7,0
2934,太刀魚の刺身,90,239,14.85,18.81,0
2935,きんき刺身,90,236,12.24,19.53,0
2936,納豆油揚げ,96.6,225,14.38,15.03,8.37
2937,生ハムクリームチーズ,66.3,200,10.18,16.88,1.18
2938,生ハムカマンベール,63.5,178,13.57,13.2,0.65
2939,納豆とろろ,111,167,11.06,5.12,20.48
2940,生ハムポテト,45,144,5.58,2.67,24.92
2941,生ハムりんご,157.5,143,7.47,5.1,18.77
2942,豆腐キムチ,158,139,8.26,8.9,5.89
2943,赤魚煮付け,130,135,14.59,2.73,10.08
2944,生ハム柿,113,124,7.53,5.15,13.35
2945,納豆しらす,83.6,121,10.2,6.13,6.89
2946,赤魚の甘酢あんかけ,160.5,120,14.25,2.73,7.33
2947,オクラちくわ,93.5,120,8.08,5.25,10.13
2948,キムチ納豆,91,118,9.32,5.11,9.21
2949,赤魚あんかけ,145.5,116,14.23,2.74,6.98
2950,生ハム桃,136,116,7.83,5.09,10.96
2951,ボラ刺身,90,115,17.28,4.5,0.09
2952,柿ポタージュ,202.3,107,2.31,3.5,17.9
2953,納豆たくあん,64,106,8.75,5.01,7
2954,干し柿白和え,60.2,105,2.76,2.8,19.45
2955,ヒラメ刺身,80,99,16.96,2.96,0
2956,トマト生ハム,153.75,98,8.07,5.1,5.97
2957,なす味噌炒め,91.85,94,1.51,6.24,7.45
