No,食品名,量(g),カロリー(kcal) ,タンパク質(g),脂質(g),炭水化物(g)
1,きび,170,605,18.02,2.89,124.27
2,道明寺粉,160,595,11.36,1.12,128.64
3,米麹,200,572,11.6,3.4,118.4
4,小麦胚芽,130,554,41.6,15.08,62.79
5,米,150,534,9.15,1.35,115.65
6,コーンミール,139,505,11.54,5.56,100.64
7,グルテン粉,110,481,79.2,10.67,11.66
8,ひえ,130,477,12.61,4.81,94.12
9,押し麦,140,476,8.68,1.82,108.92
10,あわ,130,473,13.65,3.51,95.03
11,コーンフラワー,130,472,8.58,3.64,98.93
12,上新粉,130,471,8.06,1.17,102.05
13,コーングリッツ,130,462,10.66,1.3,99.32
14,もろこし,130,458,13.39,6.11,92.43
15,とうもろこし玄穀,130,455,11.18,6.5,91.78
16,白玉粉,120,443,7.56,1.2,96
17,アルファ化米,110,426,6.38,0.77,93.72
18,小麦粉,110,405,8.8,1.87,83.49
19,中力粉,110,405,9.9,1.98,82.28
20,強力粉,110,403,12.87,1.98,78.76
21,ホットケーキミックス,110,403,8.36,4.62,81.84
22,もろこし精白粒,110,400,10.45,2.86,81.51
23,全層粉,110,397,13.2,3.41,76.56
24,二番粉,110,396,11.22,2.97,78.76
25,蕎麦粉,110,395,6.6,1.76,85.36
26,三番粉,110,394,16.5,3.96,71.61
27,ライ麦粉,110,386,9.35,1.76,83.38
28,天ぷら粉,110,384,8.25,1.76,83.71
29,小麦,110,371,11.66,3.41,79.42
30,ライ麦,110,367,13.97,2.97,77.77
31,そば米,100,364,9.6,2.5,73.7
32,全粒粉,110,361,14.08,3.19,75.02
33,大麦麺,260,317,12.48,1.56,63.18
34,ピザクラスト,115,308,10.47,3.45,58.77
35,オートミール,80,304,10.96,4.56,55.28
36,干し芋,100,303,3.1,0.6,71.9
37,蒸し中華めん,150,297,7.95,2.55,57.6
38,ブルーベリーパイ,122.3,274,4.61,14.13,31.17
39,麦焦がし,70,274,8.75,3.5,53.97
40,ビーフン,50,189,3.5,0.8,39.95
41,ゆで栗,100,167,3.5,0.6,36.7
42,パン粉,40,149,5.84,2.72,25.36
43,さつまいも団子,80.3,132,1.8,0.24,29.77
44,米粒麦,30,103,2.1,0.63,22.86
45,粟餅,40,84,1.76,0.32,18.6
46,アマランサス,15,54,1.91,0.9,9.74
47,ハトムギ,5,18,0.67,0.07,3.61
48,餃子の皮,6,17,0.56,0.08,3.42
49,シュウマイの皮,3,9,0.25,0.04,1.77
50,観世麩,1,4,0.29,0.03,0.57
51,紫キャベツ,1020,306,20.4,1.02,68.34
52,かぼちゃ,263,239,5,0.79,54.18
53,キャベツ,1020,235,13.26,2.04,53.04
54,グリーンボール,1000,200,14,1,43
55,枝豆,138,186,16.15,8.56,12.14
56,そうめんかぼちゃ,675,162,4.73,0.68,41.18
57,ごぼう,180,117,3.24,0.18,27.72
58,日本かぼちゃ,225,110,3.6,0.23,24.53
59,カリフラワー,400,108,12,0.4,20.8
60,コールラビ,500,105,5,0,25.5
61,かんぴょう,30,78,2.13,0.06,20.37
62,からし菜,300,78,9.9,0.3,14.1
63,春菊,198,44,4.55,0.59,7.72
64,水菜,170,39,3.74,0.17,8.16
65,アーティチョーク,80,38,1.84,0.16,9.04
66,十六ささげ,160,38,4,0.16,7.68
67,キンサイ,200,38,2.2,0.8,7
68,小松菜,255,36,3.83,0.51,6.12
69,さやいんげん,150,35,2.7,0.15,7.65
70,白瓜,225,34,2.03,0.23,7.43
71,豆苗,100,31,4.8,0.5,4.3
72,エンダイブ,200,30,2.4,0.4,5.8
73,うど,163,29,1.3,0.16,7.01
74,ケール,100,28,2.1,0.4,5.6
75,オクラ,85,26,1.79,0.17,5.61
76,ししとう,90,24,1.71,0.27,5.13
77,かぶ,120,24,0.84,0.12,5.52
78,山うど,111,21,1.22,0.11,4.77
79,くわい,16,20,1.01,0.02,4.26
80,おかひじき,100,17,1.4,0.2,3.4
81,行者にんにく,50,17,1.75,0.1,3.3
82,山東菜,100,14,1,0.2,2.7
83,きゅうり,98,14,0.98,0.1,2.94
84,スイートピクルス,20,13,0.06,0.02,3.66
85,ジュンサイ,200,10,0.8,0,2
86,しょうが,24,7,0.22,0.07,1.58
87,大阪白菜,50,7,0.7,0.1,1.1
88,クレソン,43,6,0.9,0.04,1.08
89,アスパラガス,24,5,0.62,0.05,0.94
90,明日葉,15,5,0.5,0.02,1.01
91,カブの葉,20,4,0.46,0.02,0.78
92,グリンピース,4,4,0.28,0.02,0.61
93,シソ,10,4,0.39,0.01,0.75
94,スナップえんどう,5,2,0.15,0.01,0.5
95,四角豆,10,2,0.24,0.01,0.38
96,葉しょうが,18,2,0.09,0.04,0.38
97,あさつき,5,2,0.21,0.02,0.28
98,こごみ,5,1,0.15,0.01,0.27
99,菊,5,1,0.07,0,0.33
100,しその実,2,1,0.07,0,0.18
101,冬瓜,2450,392,12.25,2.45,93.1
102,干しぜんまい,100,293,14.6,0.6,70.8
103,大根,900,162,3.6,0.9,36.9
104,とうもろこし,150,138,5.4,2.55,25.2
105,セロリ,910,137,9.1,0.91,29.12
106,竹の子,400,104,14.4,0.8,17.2
107,米茄子,350,77,3.85,0.35,18.55
108,すぐき,350,74,2.1,0.35,16.45
109,トレビス,400,72,4.4,0.8,15.6
110,赤玉葱,188,71,1.69,0.19,16.92
111,ナタネ,200,70,8.2,0.8,12
112,菜の花,200,66,8.8,0.4,11.6
113,たまねぎ,177,65,1.77,0.18,15.58
114,高菜,300,63,5.4,0.6,12.6
115,金時にんじん,130,59,2.34,0.39,12.61
116,にんじん,146,54,0.88,0.15,13.14
117,すぐき菜の葉,200,52,3.8,0.4,10.8
118,大根菜,200,50,4.4,0.2,10.6
119,ゴーヤ,250,43,2.5,0.25,9.75
120,葉大根,200,36,4,0.4,6.6
121,葉にんじん,200,36,2.2,0.4,7.4
122,白瓜,225,34,2.03,0.23,7.43
123,つまみ菜,160,32,3.04,0.48,5.76
124,トマト,165,31,1.16,0.17,7.76
125,ズッキーニ,200,28,2.6,0.2,5.6
126,花ニラ,100,27,1.9,0.2,5.9
127,タアサイ,188,24,2.44,0.38,4.14
128,若い空豆,20,22,2.18,0.04,3.1
129,ニラ,95,20,1.62,0.29,3.8
130,ツルムラサキ,150,20,1.05,0.3,3.9
131,タラの芽,70,19,2.94,0.14,3.01
132,黄ニラ,100,18,2.1,0.1,3.3
133,葉唐辛子,50,18,1.7,0.05,3.6
134,唐辛子,5,17,0.74,0.6,2.92
135,チコリー,100,16,1,0,3.9
136,なす ,72,16,0.79,0.07,3.67
137,セリ,84,14,1.68,0.08,2.77
138,タイサイ,85,14,0.77,0.09,2.98
139,かいわれ大根,49,10,1.03,0.25,1.62
140,ずいき,50,8,0.25,0,2.05
141,チンゲンサイ,85,8,0.51,0.09,1.7
142,長崎白菜,50,7,0.65,0.05,1.3
143,生唐辛子,5,5,0.2,0.17,0.82
144,ナズナ,10,4,0.43,0.01,0.7
145,ミニキャロット,10,3,0.07,0.02,0.75
146,ベビーコーン,10,3,0.23,0.02,0.6
147,ミニトマト,10,3,0.11,0.01,0.72
148,つるな,10,2,0.18,0.01,0.28
149,ぜんまい,3,1,0.05,0,0.2
150,つくし,2,1,0.07,0,0.16
151,ホースラディッシュ,250,198,7.75,0.75,44.25
152,白菜,940,132,7.52,0.94,30.08
153,ビート,200,82,3.2,0.2,18.6
154,野沢菜,500,80,4.5,0.5,17.5
155,ゆりね,63,79,2.39,0.06,17.83
156,大豆もやし,192,71,7.1,2.88,4.42
157,はやとうり,300,60,1.8,0.3,14.7
158,ほうれんそう,270,54,5.94,1.08,8.37
159,水掛菜,200,50,5.8,0.2,9.4
160,トマピー,150,47,1.5,0.3,11.25
161,エシャロット,60,46,1.38,0.12,10.68
162,ふきのとう,103,44,2.58,0.1,10.3
163,ブロッコリー,125,41,5.38,0.63,6.5
164,広島菜,200,40,3,0.4,8.4
165,へちま,250,40,2,0.25,9.5
166,根みつば,195,39,3.71,0.2,8
167,フダンソウ,200,38,4,0.2,7.4
168,モロヘイヤ,100,38,4.8,0.5,6.3
169,ブラックマッペもやし,248,37,4.96,0,6.7
170,もやし,243,34,4.13,0.24,6.32
171,葉ねぎ,100,31,1.5,0.3,7
172,パクチョイ,200,30,3.2,0.4,5.4
173,こねぎ,99,27,1.98,0.3,5.35
174,ようさい,150,26,3.3,0.15,4.65
175,マコモ,100,21,1.3,0.2,4.4
176,のびる,30,20,0.96,0.06,4.65
177,ねぎ,57,16,0.29,0.06,4.1
178,生落花生,5,15,0.6,1.21,0.62
179,みつば,75,14,0.75,0.08,3
180,スプラウト,100,12,1.6,0.1,2
181,糸みつば,92,12,0.83,0.09,2.67
182,みょうが,97,12,0.87,0.1,2.52
183,藤豆,30,10,0.75,0.03,2.22
184,にんにく,6,8,0.36,0.08,1.58
185,赤ピーマン,26,8,0.26,0.05,1.87
186,黄ピーマン,26,7,0.21,0.05,1.72
187,ふき,60,7,0.18,0,1.8
188,らっきょう,5,6,0.07,0.01,1.47
189,ピーマン,26,6,0.23,0.05,1.33
190,日野菜,30,6,0.3,0,1.41
191,茎にんにく,10,5,0.19,0.03,1.06
192,ミニキャロット,10,3,0.07,0.02,0.75
193,芽キャベツ,5,3,0.29,0.01,0.5
194,よめな,5,2,0.17,0.01,0.5
195,よもぎ,5,2,0.26,0.02,0.44
196,パセリ,5,2,0.19,0.04,0.41
197,メタデ,5,2,0.15,0.03,0.44
198,むかご,2,2,0.06,0,0.41
199,はつか大根,11,2,0.09,0.01,0.34
200,みょうがたけ,20,1,0.08,0.02,0.3
201,干しワラビ,100,274,20,0.7,61.4
202,れんこん,240,158,4.56,0.24,37.2
203,山葵,80,70,4.48,0.16,14.72
204,レタス,490,59,2.94,0.49,13.72
205,リーキ,200,58,3.2,0.2,13.8
206,エシャロット,60,46,1.38,0.12,10.68
207,サニーレタス,282,45,3.38,0.56,9.02
208,わけぎ,144,43,2.3,0,10.66
209,ルバーブ,80,19,0.56,0.08,4.8
210,わらび,71,15,1.7,0.07,2.84
211,水耕栽培レタス,100,14,0.8,0.2,2.9
212,サラダ菜,90,13,1.53,0.18,1.98
213,ロケットサラダ,50,10,0.95,0.2,1.55
214,コスレタス,10,2,0.12,0.02,0.34
215,リーフレタス,10,2,0.14,0.01,0.33
216,チェリモヤ,400,312,5.2,1.2,79.2
217,アボカド,140,262,3.5,26.18,8.68
218,グレープフルーツ缶詰,324,227,1.62,0,55.4
219,ドリアン,170,226,3.91,5.61,46.07
220,いちじくの缶詰,255,207,1.28,0.26,49.47
221,あんずの缶詰,246,199,1.23,0.98,46.49
222,みかんの缶詰,255,163,1.28,0.26,39.02
223,中国梨,340,160,0.68,0.34,43.18
224,洋梨,255,138,0.77,0.26,36.72
225,さくらんぼ缶詰,181,134,1.09,0.18,31.86
226,カリン,175,119,0.7,0.18,32.03
227,梨,255,110,0.77,0.26,28.82
228,柿,166,100,0.66,0.33,26.39
229,渋抜き柿,136,86,0.68,0.14,22.98
230,スイカ,225,83,1.35,0.23,21.38
231,グァバ,210,80,1.26,0.21,20.79
232,グレープフルーツ,210,80,1.89,0.21,20.16
233,アテモヤ,98,77,1.76,0.39,19.01
234,パイナップル,151,77,0.91,0.15,20.23
235,キワノ,180,74,2.7,1.62,14.4
236,スイーティー,173,69,1.38,0.17,17.47
237,いよかん,150,69,1.35,0.15,17.7
238,夏みかん,159,64,1.43,0.16,15.9
239,タンゴール,126,63,1.13,0.13,16
240,スターフルーツ,204,61,1.43,0.2,15.3
241,ネーブル,130,60,1.17,0.13,15.34
242,タンゼロ,120,59,1.32,0.12,14.88
243,すもも,130,57,0.78,1.3,12.22
244,ざくろ,93,52,0.19,0,14.42
245,三宝柑,112,49,0.78,0.34,12.21
246,キウイ,87,46,0.87,0.09,11.75
247,いちじく,72,39,0.43,0.07,10.3
248,さくらんぼ,63,38,0.63,0.13,9.58
249,バレンシアオレンジ,87,34,0.87,0.09,8.53
250,みかん,75,34,0.53,0.08,8.63
251,プルーン,63,31,0.44,0.06,7.94
252,あけび,70,24,0.21,0.21,6.02
253,あんず,66,24,0.66,0.2,5.61
254,いちご,61,21,0.55,0.06,5.19
255,アセロラ,53,19,0.37,0.05,4.77
256,あけびの果肉,20,16,0.1,0.02,4.4
257,ダイダイ,60,14,0.18,0.12,4.8
258,グミの実,18,12,0.23,0.04,3.1
259,金柑,17,12,0.09,0.12,2.98
260,かぼす,44,11,0.18,0.04,3.74
261,ハスカップ,20,11,0.14,0.12,2.56
262,すだち果皮,9,6,0.16,0.03,1.48
263,青梅,21,6,0.15,0.11,1.66
264,グズベリー,7,4,0.07,0.01,0.92
265,すだち,7,1,0.04,0.01,0.46
266,りんご,255,138,0.51,0.26,37.23
267,ドラゴンフルーツ,260,130,3.64,0.78,30.68
268,マンゴー,195,125,1.17,0.2,32.96
269,ぶどう,204,120,0.82,0.2,32.03
270,青パパイヤ,300,117,3.9,0.3,28.2
271,ホワイトサポテ,150,111,2.25,0.15,28.35
272,マルメロ,188,105,0.56,0.19,28.39
273,ブンタン,250,95,1.75,0.25,24.5
274,はっさく,195,88,1.56,0.2,22.43
275,パパイヤ,228,87,1.14,0.46,21.66
276,桃,212,85,1.27,0.21,21.62
277,バナナ,90,77,0.99,0.18,20.25
278,まくわうり,240,77,1.92,0.24,18.72
279,生ハムメロン,83,75,5.49,3.38,6.59
280,ネクタリン,170,73,1.19,0.51,18.19
281,日向夏,140,63,0.84,0.14,16.38
282,露地メロン,138,58,1.38,0.14,14.35
283,メロン,126,53,1.39,0.13,12.98
284,ポンカン,97,39,0.87,0.1,9.6
285,焼きみかん,75,34,0.53,0.08,8.63
286,日向夏の果肉,90,30,0.54,0.09,7.47
287,柚子の皮,48,28,0.58,0.24,6.82
288,パッションフルーツ,37,24,0.3,0.15,5.99
289,ブルーベリー,40,20,0.2,0.04,5.16
290,マンゴスチン,25,17,0.15,0.05,4.38
291,びわ,35,14,0.11,0.04,3.71
292,ラズベリー,30,12,0.33,0.03,3.06
293,ライチ,19,12,0.19,0.02,3.12
294,レモン,45,12,0.18,0.09,3.87
295,ハスカップ,20,11,0.14,0.12,2.56
296,ライム,32,9,0.13,0.03,2.98
297,柚子,30,6,0.15,0.03,2.1
298,ヤマモモ,13,6,0.07,0.03,1.47
299,長芋,720,468,15.84,2.16,100.08
300,米でん粉,110,403,0.22,0.77,98.23
301,コーンスターチ,110,389,0.11,0.77,94.93
302,やつがしら,400,388,12,2.8,82
303,小麦澱粉,110,386,0.22,0.55,94.6
304,サゴでん粉,110,384,0.11,0.22,94.71
305,葛粉,110,382,0.22,0.22,94.16
306,タピオカ粉,110,381,0.11,0.22,93.83
307,大和芋,300,369,13.5,0.6,81.3
308,さつまいも澱粉,110,365,0.11,0.22,90.2
309,片栗粉,110,363,0.11,0.11,89.76
310,さつまいも,200,264,2.4,0.4,63
311,自然薯,200,242,5.6,1.4,53.4
312,だいじょ,200,218,5.2,0.2,50
313,じゃがいも,135,103,2.16,0.14,23.76
314,とろろ,76.4,75,2.83,0.12,16.42
315,水芋,40,47,0.28,0.16,11.04
316,緑豆はるさめ,10,35,0.02,0.04,8.46
317,春雨,10,34,0.01,0.02,8.45
318,タピオカ,8,28,0.01,0.02,6.94
319,里芋,40,23,0.6,0.04,5.24
320,菊芋,50,18,0.95,0.1,7.55
321,水飴,21,69,0,0,17.85
322,転化型液糖,21,64,0,0,16.65
323,蜂蜜,21,62,0.04,0,16.74
324,ザラメ,15,58,0,0,15
325,中ざら糖,15,58,0,0,15
326,ごま餡,23,58,1.87,1.23,10.17
327,異性化液糖,21,58,0,0,15.75
328,ショ糖型液糖,21,57,0,0,14.7
329,氷糖蜜,21,56,0.04,0,14.32
330,メープルシロップ,21,54,0.02,0,13.92
331,みそ餡,23,47,1.86,0.21,9.56
332,グラニュー糖,12,46,0,0,12
333,ガムシロップ,15,35,0,0,8.93
334,砂糖,9,35,0,0,8.93
335,和三盆糖,9,34,0.02,0,8.89
336,三温糖,9,34,0,0,8.88
337,粉飴,9,34,0,0,8.73
338,果糖,9,33,0,0,8.99
339,りんごシロップ,15,33,0.02,0.01,8.54
340,黒砂糖,9,32,0.15,0,8.07
341,粉糖,7,27,0,0,6.98
342,角砂糖,5,19,0,0,5
343,氷砂糖,4,15,0,0,4
344,コーヒーシュガー,4,15,0,0,4
345,ぶどう糖,3,10,0,0,2.73
346,えごま,150,816,26.55,65.1,44.1
347,けしの実,130,737,25.09,63.83,28.34
348,麻の実,150,695,44.25,41.85,46.95
349,大豆,150,626,52.95,28.5,42.3
350,えんどう豆,160,563,34.72,3.68,96.64
351,ひよこ豆,150,561,30,7.8,92.25
352,小豆,160,542,32.48,3.52,93.92
353,緑豆,150,531,37.65,2.25,88.65
354,レンズマメ,150,530,34.8,1.95,91.95
355,ライマメ,150,524,34.35,2.7,89.4
356,蔓小豆,150,519,30.45,2.4,92.7
357,ささげ,150,504,35.85,3,82.5
358,紅花インゲン,150,498,25.8,2.55,91.8
359,ココナッツパウダー,60,401,3.66,39.48,14.22
360,そら豆,110,383,28.6,2.2,61.49
361,はすの実,110,366,21.01,1.54,68.86
362,どんぐり,40,101,1.28,0.32,23.04
363,むきごま,10,60,1.93,5.49,1.88
364,アーモンド,10,60,1.86,5.42,1.97
365,菱の実,30,57,1.74,0.15,12.18
366,ごま,9,52,1.78,4.67,1.66
367,うずら豆,20,47,1.34,0.26,9.92
368,炒りごま,7,42,1.42,3.79,1.3
369,くるみ,4,27,0.58,2.75,0.47
370,栗,13,21,0.36,0.07,4.8
371,栃の実,10,16,0.17,0.19,3.42
372,インゲン豆,2,7,0.4,0.04,1.16
373,ぎんなん,3,6,0.14,0.05,1.16
374,シロキクラゲ,100,162,4.9,0.7,74.5
375,アラゲキクラゲ,80,137,3.68,0.56,63.52
376,乾燥マイタケ,30,54,6.57,1.17,17.97
377,しめじ,300,42,6.3,0.9,13.2
378,ハタケシメジ,130,23,4.03,0.26,7.28
379,ウスヒラタケ,100,23,6.1,0.2,4.8
380,えのき,85,19,2.3,0.17,6.46
381,ヒラタケ,92,18,3.04,0.28,5.7
382,ぶなしめじ,90,16,2.43,0.54,4.5
383,タモギタケ,100,16,3.6,0.3,3.7
384,なめこ,100,15,1.7,0.2,5.2
385,マイタケ,90,14,3.33,0.63,2.43
386,柳松茸,100,13,2.4,0.1,4
387,エリンギ,50,12,1.8,0.25,3.7
388,黒あわび茸,50,10,1.85,0.2,2.45
389,松茸,29,7,0.58,0.17,2.38
390,しいたけ,36,6,1.08,0.14,1.76
391,乾燥椎茸,2,4,0.39,0.07,1.27
392,ヌメリスギタケ,20,3,0.46,0.08,0.82
393,きくらげ,1,2,0.08,0.02,0.71
394,白きくらげ,10,1,0.04,0,0.67
395,キクラゲ,10,1,0.06,0.02,0.52
396,マッシュルーム,10,1,0.29,0.03,0.21
397,マツモ,100,159,27.9,4.9,40.8
398,天草,100,144,16.1,1,53.8
399,あらめ,100,140,12.4,0.7,56.2
400,おごのり,500,105,6.5,0.5,44
401,鬼昆布,70,97,7.7,0.7,38.99
402,とさかのり,500,70,7.5,0.5,25.5
403,青とさかのり,500,65,4.5,1,24.5
404,えごのり,40,57,3.6,0.04,24.88
405,ふのり,30,44,4.14,0.3,17.34
406,がごめ昆布,30,43,2.37,0.15,18.63
407,乾燥わかめ,30,35,4.08,0.48,12.39
408,ヒトエグサ,20,26,3.32,0.2,9.26
409,わかめ,100,16,1.9,0.2,5.6
410,三石昆布,10,15,0.77,0.19,6.47
411,茎わかめ,100,15,1.1,0.3,5.5
412,真昆布,10,15,0.82,0.12,6.15
413,昆布,10,14,0.83,0.15,5.85
414,ひじき,10,14,1.06,0.13,5.62
415,利尻昆布,10,14,0.8,0.2,5.65
416,むかでのり,100,10,0.6,0.1,4.2
417,細目昆布,5,7,0.35,0.09,3.15
418,めかぶ,50,6,0.45,0.3,1.7
419,干し海苔,3,5,1.18,0.11,1.16
420,川海苔,3,5,1.14,0.05,1.25
421,岩海苔,3,5,1.04,0.02,1.17
422,沖縄もずく,70,4,0.21,0.14,1.4
423,海ぶどう,100,4,0.5,0.1,1.2
424,あおさ,3,4,0.66,0.02,1.25
425,青海苔,2.5,4,0.45,0.01,1.4
426,もずく,70,3,0.14,0.07,0.98
427,水前寺海苔,6,0,0.09,0,0.13
428,うなぎ,225,574,38.48,43.43,0.68
429,子持ちがれい,300,429,59.7,18.6,0.3
430,ソウダガツオ,300,408,77.1,8.4,0.9
431,あなご,227,365,39.27,21.11,0
432,秋鰹,200,330,50,12.4,0.4
433,アイナメ,250,283,47.75,8.5,0.25
434,メカジキ,200,282,36.6,13.4,0.2
435,コハダ,175,280,33.25,14.53,0.7
436,カジカ,250,278,37.5,12.5,0.5
437,キチジ,100,262,13.6,21.7,0
438,カンパチ,200,258,42,8.4,0.2
439,エソ,275,256,55.28,2.2,0.28
440,マコガレイ,250,248,48.75,4.5,0
441,マガレイ,250,238,49,3.25,0.25
442,マカジキ,200,230,46.2,3.6,0.2
443,あゆ,150,228,26.7,11.85,0.9
444,春鰹,200,228,51.6,1,0.2
445,イシダイ,135,211,26.33,10.53,0
446,鯉,120,205,21.24,12.24,0.24
447,クロカジキ,200,198,45.8,0.4,0.2
448,ギンダラ,80,176,10.4,14,0
449,マイワシ,80,174,15.84,11.12,0.56
450,カマス,114,169,21.55,8.21,0.11
451,エイ,200,168,38.2,0.6,0.2
452,オコゼ,180,153,35.28,0.36,0.36
453,イサキ,110,140,18.92,6.27,0.11
454,キンメダイ,80,128,14.24,7.2,0.08
455,グチ,152,126,27.36,1.22,0
456,イカナゴ,100,125,17.2,5.5,0.1
457,オヒョウ,120,120,23.88,2.04,0.12
458,カサゴ,140,119,27.02,0.42,0.14
459,コチ,113,113,25.43,0.57,0.23
460,イボダイ,66,98,10.82,5.61,0
461,イトヨリダイ,100,93,18.1,1.7,0.1
462,オイカワ,68,92,13.06,3.94,0.07
463,ムロアジ,55,91,12.98,3.8,0.22
464,アマダイ,80,90,15.04,2.88,0
465,イワナ,75,86,14.25,2.7,0.08
466,ニシマアジ,50,85,9.8,4.55,0.05
467,アラスカメヌケ,80,84,13.76,2.72,0.08
468,ウマヅラハギ,105,84,19.11,0.32,0
469,カワハギ,105,84,19.74,0.11,0
470,アジ,68,82,14.08,2.38,0.07
471,ウグイ,75,75,15.08,1.13,0.15
472,メゴチ,100,75,17.5,0.1,0.1
473,アコウダイ,80,74,13.44,1.84,0.08
474,キングクリップ,80,62,14.56,0.08,0
475,あんこう,80,46,10.4,0.16,0.24
476,キス,50,43,9.6,0.2,0.05
477,カタクチイワシ,11,21,2,1.33,0.03
478,タチウオ,260,692,42.9,54.34,0
479,タイ,270,524,58.59,29.16,0.27
480,ブリ,200,514,42.8,35.2,0.6
481,クロダイ,270,405,55.08,18.09,0.81
482,ニシン,165,356,28.71,24.92,0.17
483,ヒラメ,275,341,58.3,10.18,0
484,大西洋サバ,104,339,17.89,27.87,0.42
485,アブラツノザメ,200,318,33.6,18.8,0
486,ハモ,200,288,44.6,10.6,0
487,ヒラマサ,200,284,45.2,9.8,0.2
488,ヒメダイ,270,284,52.38,6.48,0.27
489,コハダ,175,280,33.25,14.53,0.7
490,ティラピア,200,268,39.6,10.6,0.4
491,シマアジ,135,227,29.57,10.8,0.14
492,さんま,69,214,12.77,16.97,0.07
493,タカベ,120,197,22.44,10.8,0
494,サバ,96,194,19.87,11.62,0.29
495,ナマズ,120,191,22.08,10.32,0
496,タイセイヨウサケ,80,190,16.08,12.88,0.08
497,海面養殖ニジマス,80,181,16.64,11.76,0
498,タカサゴ,180,180,36.36,2.7,0.18
499,トビウオ,180,173,37.8,1.26,0.18
500,銀鮭,80,163,15.68,10.24,0.24
501,マスノスケ,80,160,15.6,10,0
502,サワラ,80,142,16.08,7.76,0.08
503,ニジマス,110,140,21.67,5.06,0.11
504,シタビラメ,138,132,26.5,2.21,0
505,シイラ,120,130,25.56,2.28,0
506,キダイ,120,130,22.32,3.72,0.24
507,スケトウダラ,160,126,28.96,0.32,0.16
508,カラフトマス,80,123,17.36,5.28,0.08
509,シルバーワレフ,80,122,14.88,6.32,0
510,鮭,80,110,18,3.6,0.08
511,秋鮭,80,106,17.84,3.28,0.08
512,ヨシキリザメ,120,102,22.68,0.72,0
513,スズキ,80,98,15.84,3.36,0
514,オキサワラ,80,96,17.36,2.4,0.08
515,タマン,80,72,16.4,0.24,0.08
516,トラフグ,80,68,15.44,0.24,0.16
517,フグ,80,67,15.12,0.32,0
518,ハタハタ,56,63,7.9,3.19,0
519,タラ,80,62,14.08,0.16,0.08
520,サヨリ,60,57,11.76,0.78,0
521,カラフトししゃも,30,53,4.68,3.48,0.15
522,フナ,50,51,9.1,1.25,0.05
523,ししゃも,30,50,6.3,2.43,0.06
524,ニギス,19,17,3.55,0.23,0.02
525,シラウオ,20,15,2.72,0.4,0.02
526,チカ,17,15,3.32,0.1,0
527,ハゼ,18,15,3.44,0.04,0.02
528,ミナミマグロのトロ,200,704,40.6,56.6,0.2
529,トロ,200,688,40.2,55,0.2
530,マジェランアイナメ,200,544,26.6,45.8,0.2
531,マナガツオ,300,525,51.3,32.7,0
532,ブリ,200,514,42.8,35.2,0.6
533,ハマチ,200,512,39.4,36.4,0.6
534,ボラ,400,512,76.8,20,0.4
535,ホッケ,400,460,69.2,17.6,0.4
536,ムツ,200,378,33.4,25.2,0
537,ヤツメウナギ,135,369,21.33,29.43,0.27
538,ホウボウ,240,293,47.04,10.08,0
539,マグロ,200,250,52.8,2.8,0.2
540,メジナ,200,250,38.8,9,0.2
541,ビンナガ,200,234,52,1.4,0.4
542,メバチ,200,216,45.6,2.4,0.4
543,キハダ,200,212,48.6,0.8,0
544,ヤマメ,165,196,30.36,7.1,0.5
545,ミナミマグロ,200,186,43.2,0.2,0.2
546,メバル,105,114,19.01,3.68,0
547,アワビ,150,110,19.05,0.45,6
548,ホタテ,110,79,14.85,0.99,1.65
549,タイラギ,70,70,15.26,0.14,1.05
550,ホキ,80,67,13.6,1.04,0
551,メルルーサ,80,62,13.6,0.48,0
552,ミナミダラ,80,58,13.12,0.24,0
553,イセエビ,60,55,12.54,0.24,0
554,ホッキ,53,39,5.88,0.58,2.01
555,ホンモロコ,30,34,5.25,1.23,0.03
556,ミルガイ,40,33,7.32,0.16,0.12
557,ホタテ貝柱,30,29,5.37,0.03,1.47
558,バイガイ,27,23,4.4,0.16,0.84
559,ツブ,25,22,4.45,0.05,0.58
560,イタヤガイ,35,21,3.78,0.28,0.53
561,サザエ,18,16,3.49,0.07,0.14
562,サクラエビ,5,16,3.25,0.2,0.01
563,ワカサギ,20,15,2.88,0.34,0.02
564,アカガイ,20,15,2.7,0.06,0.7
565,バカガイ,23,14,2.51,0.12,0.55
566,クルマエビ,14,14,3.02,0.08,0
567,大正海老,14,13,3.04,0.04,0.01
568,牡蠣,20,12,1.32,0.28,0.94
569,タニシ,14,11,1.82,0.15,0.5
570,とり貝,12,10,1.55,0.04,0.83
571,アゲマキガイ,20,10,1.62,0.12,0.4
572,トコブシ,10,8,1.6,0.04,0.3
573,チョウセンハマグリ,20,8,1.3,0.08,0.54
574,イガイ,12,8,1.24,0.17,0.38
575,シバエビ,9,7,1.68,0.04,0.01
576,シジミ,13,7,0.73,0.13,0.56
577,はまぐり,15,6,0.92,0.08,0.27
578,イカ,300,264,54.3,3.6,0.6
579,コウイカ,325,215,48.43,0.98,0.33
580,赤イカ,225,200,40.28,3.15,0
581,タコ,200,152,32.8,1.4,0.2
582,ケンサキイカ,160,134,28,1.6,0.16
583,ヤリイカ,150,128,26.4,1.5,0.6
584,オオサガ,80,115,13.04,6.4,0.08
585,毛ガニ,120,86,18.96,0.6,0.24
586,ズワイガニ,90,57,12.51,0.36,0.09
587,ワタリガニ,70,46,10.08,0.21,0.21
